"","chr","start","stop","haplotype_block","T0","selCoef","cov","Gen10_neutAFC99","Gen10_neutAFC999"
"41","Scz6wRH_1685;HRSCAF=1840",31429026,32203068,"Scz6wRH_1693;HRSCAF=1917_0.4_10_noThreshold",0.5,0.177415020976016,66,0.0617753383458647,0.0814442857142858
"42","Scz6wRH_1685;HRSCAF=1840",35869942,37275025,"Scz6wRH_1693;HRSCAF=1917_0.4_11_noThreshold",0.5,0.119620734993659,68,0.0617753383458647,0.0814442857142858
"43","Scz6wRH_1685;HRSCAF=1840",40227336,42897432,"Scz6wRH_1693;HRSCAF=1917_0.4_12_noThreshold",0.5,0.115145910617887,69,0.0617753383458647,0.0814442857142858
"44","Scz6wRH_1685;HRSCAF=1840",45881669,46598179,"Scz6wRH_1693;HRSCAF=1917_0.4_13_noThreshold",0.5,0.127103247245071,85,0.0617753383458647,0.0814442857142858
"45","Scz6wRH_1685;HRSCAF=1840",47301485,48341348,"Scz6wRH_1693;HRSCAF=1917_0.4_14_noThreshold",0.5,0.0629584581611364,77,0.0617753383458647,0.0814442857142858
"46","Scz6wRH_1685;HRSCAF=1840",48978888,49984840,"Scz6wRH_1693;HRSCAF=1917_0.4_15_noThreshold",0.5,0.109295330026324,57,0.0617753383458647,0.0814442857142858
"47","Scz6wRH_1685;HRSCAF=1840",52345989,53883249,"Scz6wRH_1693;HRSCAF=1917_0.4_16_noThreshold",0.5,0.159134015045049,59,0.0617753383458647,0.0814442857142858
"48","Scz6wRH_1685;HRSCAF=1840",57310419,58710943,"Scz6wRH_1693;HRSCAF=1917_0.4_17_noThreshold",0.5,0.200677724423661,66,0.0617753383458647,0.0814442857142858
"49","Scz6wRH_1685;HRSCAF=1840",59022618,59902457,"Scz6wRH_1693;HRSCAF=1917_0.4_18_noThreshold",0.5,0.193552536905378,63,0.0617753383458647,0.0814442857142858
"50","Scz6wRH_1685;HRSCAF=1840",59987273,61931667,"Scz6wRH_1693;HRSCAF=1917_0.4_19_noThreshold",0.5,0.120629494721029,59,0.0617753383458647,0.0814442857142858
"51","Scz6wRH_1685;HRSCAF=1840",63831792,65365255,"Scz6wRH_1693;HRSCAF=1917_0.4_20_noThreshold",0.5,0.0887979431769276,63,0.0617753383458647,0.0814442857142858
"52","Scz6wRH_1685;HRSCAF=1840",70644753,72045011,"Scz6wRH_1693;HRSCAF=1917_0.4_21_noThreshold",0.5,0.130639807228982,61,0.0617753383458647,0.0814442857142858
"53","Scz6wRH_1685;HRSCAF=1840",72218616,73087135,"Scz6wRH_1693;HRSCAF=1917_0.4_22_noThreshold",0.5,0.0936476463907771,62,0.0617753383458647,0.0814442857142858
"54","Scz6wRH_1685;HRSCAF=1840",74848383,77502320,"Scz6wRH_1693;HRSCAF=1917_0.4_23_noThreshold",0.5,0.129318204941656,63,0.0617753383458647,0.0814442857142858
"55","Scz6wRH_1685;HRSCAF=1840",80356425,81349246,"Scz6wRH_1693;HRSCAF=1917_0.4_24_noThreshold",0.5,0.108977614084839,63,0.0617753383458647,0.0814442857142858
"56","Scz6wRH_1685;HRSCAF=1840",84953846,86344760,"Scz6wRH_1693;HRSCAF=1917_0.4_25_noThreshold",0.5,0.195429046254173,55,0.0617753383458647,0.0814442857142858
"57","Scz6wRH_1685;HRSCAF=1840",89669719,90728135,"Scz6wRH_1693;HRSCAF=1917_0.4_26_noThreshold",0.5,0.0926353400853829,68,0.0617753383458647,0.0814442857142858
"58","Scz6wRH_1685;HRSCAF=1840",93053906,94023187,"Scz6wRH_1693;HRSCAF=1917_0.4_27_noThreshold",0.5,0.0941054945036116,55,0.0617753383458647,0.0814442857142858
"59","Scz6wRH_1685;HRSCAF=1840",94091429,95146630,"Scz6wRH_1693;HRSCAF=1917_0.4_28_noThreshold",0.5,0.172780213330214,71,0.0617753383458647,0.0814442857142858
"60","Scz6wRH_1685;HRSCAF=1840",3987079,4921026,"Scz6wRH_1693;HRSCAF=1917_0.4_3_noThreshold",0.5,0.123611916866718,72,0.0617753383458647,0.0814442857142858
"61","Scz6wRH_1685;HRSCAF=1840",6099643,8239323,"Scz6wRH_1693;HRSCAF=1917_0.4_4_noThreshold",0.5,0.0958658963559788,51,0.0617753383458647,0.0814442857142858
"62","Scz6wRH_1685;HRSCAF=1840",10534204,13588185,"Scz6wRH_1693;HRSCAF=1917_0.4_5_noThreshold",0.5,0.136500080199739,56,0.0617753383458647,0.0814442857142858
"63","Scz6wRH_1685;HRSCAF=1840",15652580,16912228,"Scz6wRH_1693;HRSCAF=1917_0.4_6_noThreshold",0.5,0.204335065547259,74,0.0617753383458647,0.0814442857142858
"64","Scz6wRH_1685;HRSCAF=1840",18729196,19722984,"Scz6wRH_1693;HRSCAF=1917_0.4_7_noThreshold",0.5,0.136436875486327,55,0.0617753383458647,0.0814442857142858
"65","Scz6wRH_1685;HRSCAF=1840",20969376,22453547,"Scz6wRH_1693;HRSCAF=1917_0.4_8_noThreshold",0.5,0.129472321709629,55,0.0617753383458647,0.0814442857142858
"66","Scz6wRH_1685;HRSCAF=1840",34232,1194210,"Scz6wRH_2;HRSCAF=24_0.4_1_noThreshold",0.5,0.112652095409003,56,0.0617753383458647,0.0814442857142858
"67","Scz6wRH_1685;HRSCAF=1840",25961422,27181226,"Scz6wRH_2;HRSCAF=24_0.4_11_noThreshold",0.5,0.159771455364497,70,0.0617753383458647,0.0814442857142858
"68","Scz6wRH_1685;HRSCAF=1840",28722208,30104558,"Scz6wRH_2;HRSCAF=24_0.4_12_noThreshold",0.5,0.0736183622445539,56,0.0617753383458647,0.0814442857142858
"69","Scz6wRH_1685;HRSCAF=1840",32345967,33709002,"Scz6wRH_2;HRSCAF=24_0.4_13_noThreshold",0.5,0.100713938715692,56,0.0617753383458647,0.0814442857142858
"70","Scz6wRH_1685;HRSCAF=1840",34750798,36003916,"Scz6wRH_2;HRSCAF=24_0.4_14_noThreshold",0.5,0.116751936743111,56,0.0617753383458647,0.0814442857142858
"71","Scz6wRH_1685;HRSCAF=1840",36056368,38049027,"Scz6wRH_2;HRSCAF=24_0.4_16_noThreshold",0.5,0.120809589076527,67,0.0617753383458647,0.0814442857142858
"72","Scz6wRH_1685;HRSCAF=1840",39811562,43962368,"Scz6wRH_2;HRSCAF=24_0.4_17_noThreshold",0.5,0.178524747206027,63,0.0617753383458647,0.0814442857142858
"73","Scz6wRH_1685;HRSCAF=1840",44949263,46903978,"Scz6wRH_2;HRSCAF=24_0.4_18_noThreshold",0.5,0.105712541338892,51,0.0617753383458647,0.0814442857142858
"74","Scz6wRH_1685;HRSCAF=1840",48576615,50687530,"Scz6wRH_2;HRSCAF=24_0.4_19_noThreshold",0.5,0.133474505140312,61,0.0617753383458647,0.0814442857142858
"75","Scz6wRH_1685;HRSCAF=1840",2282851,3556436,"Scz6wRH_2;HRSCAF=24_0.4_2_noThreshold",0.5,0.0890691573930547,71,0.0617753383458647,0.0814442857142858
"76","Scz6wRH_1685;HRSCAF=1840",50794361,52842026,"Scz6wRH_2;HRSCAF=24_0.4_20_noThreshold",0.5,0.135207268276441,64,0.0617753383458647,0.0814442857142858
"77","Scz6wRH_1685;HRSCAF=1840",52187829,55109758,"Scz6wRH_2;HRSCAF=24_0.4_21_noThreshold",0.5,0.118900785635188,66,0.0617753383458647,0.0814442857142858
"78","Scz6wRH_1685;HRSCAF=1840",55977208,56960874,"Scz6wRH_2;HRSCAF=24_0.4_22_noThreshold",0.5,0.199050509413163,57,0.0617753383458647,0.0814442857142858
"79","Scz6wRH_1685;HRSCAF=1840",56742054,58018417,"Scz6wRH_2;HRSCAF=24_0.4_23_noThreshold",0.5,0.146310758310069,66,0.0617753383458647,0.0814442857142858
"80","Scz6wRH_1685;HRSCAF=1840",58079293,62462892,"Scz6wRH_2;HRSCAF=24_0.4_24_noThreshold",0.5,0.177503647826238,60,0.0617753383458647,0.0814442857142858
"81","Scz6wRH_1685;HRSCAF=1840",64938971,66874264,"Scz6wRH_2;HRSCAF=24_0.4_25_noThreshold",0.5,0.11692475948008,69,0.0617753383458647,0.0814442857142858
"82","Scz6wRH_1685;HRSCAF=1840",66905686,68142564,"Scz6wRH_2;HRSCAF=24_0.4_26_noThreshold",0.5,0.209915732473439,64,0.0617753383458647,0.0814442857142858
"83","Scz6wRH_1685;HRSCAF=1840",69108277,70426626,"Scz6wRH_2;HRSCAF=24_0.4_27_noThreshold",0.5,0.0995374834601888,74,0.0617753383458647,0.0814442857142858
"84","Scz6wRH_1685;HRSCAF=1840",71409881,74214696,"Scz6wRH_2;HRSCAF=24_0.4_28_noThreshold",0.5,0.114848529875025,64,0.0617753383458647,0.0814442857142858
"85","Scz6wRH_1685;HRSCAF=1840",75063522,76421481,"Scz6wRH_2;HRSCAF=24_0.4_29_noThreshold",0.5,0.129128841635595,84,0.0617753383458647,0.0814442857142858
"86","Scz6wRH_1685;HRSCAF=1840",4587302,5733391,"Scz6wRH_2;HRSCAF=24_0.4_3_noThreshold",0.5,0.152994050084236,59,0.0617753383458647,0.0814442857142858
"87","Scz6wRH_1685;HRSCAF=1840",77972448,81546006,"Scz6wRH_2;HRSCAF=24_0.4_30_noThreshold",0.5,0.0973185406676629,63,0.0617753383458647,0.0814442857142858
"88","Scz6wRH_1685;HRSCAF=1840",81638354,83046695,"Scz6wRH_2;HRSCAF=24_0.4_32_noThreshold",0.5,0.0916402342399707,66,0.0617753383458647,0.0814442857142858
"89","Scz6wRH_1685;HRSCAF=1840",83076681,84926784,"Scz6wRH_2;HRSCAF=24_0.4_33_noThreshold",0.5,0.126506639245434,57,0.0617753383458647,0.0814442857142858
"90","Scz6wRH_1685;HRSCAF=1840",85299081,87414502,"Scz6wRH_2;HRSCAF=24_0.4_34_noThreshold",0.5,0.14179590805111,63,0.0617753383458647,0.0814442857142858
"91","Scz6wRH_1685;HRSCAF=1840",88229217,89604772,"Scz6wRH_2;HRSCAF=24_0.4_35_noThreshold",0.5,0.160898259160849,60,0.0617753383458647,0.0814442857142858
"92","Scz6wRH_1685;HRSCAF=1840",90531238,93221772,"Scz6wRH_2;HRSCAF=24_0.4_36_noThreshold",0.5,0.16900598050562,59,0.0617753383458647,0.0814442857142858
"93","Scz6wRH_1685;HRSCAF=1840",94215706,95519475,"Scz6wRH_2;HRSCAF=24_0.4_38_noThreshold",0.5,0.0940522594052113,60,0.0617753383458647,0.0814442857142858
"94","Scz6wRH_1685;HRSCAF=1840",98569080,100540369,"Scz6wRH_2;HRSCAF=24_0.4_39_noThreshold",0.5,0.125341124760602,54,0.0617753383458647,0.0814442857142858
"95","Scz6wRH_1685;HRSCAF=1840",9575369,11618697,"Scz6wRH_2;HRSCAF=24_0.4_4_noThreshold",0.5,0.130750640863503,61,0.0617753383458647,0.0814442857142858
"96","Scz6wRH_1685;HRSCAF=1840",101450110,105601710,"Scz6wRH_2;HRSCAF=24_0.4_40_noThreshold",0.5,0.131415880581771,61,0.0617753383458647,0.0814442857142858
"97","Scz6wRH_1685;HRSCAF=1840",106151423,109194573,"Scz6wRH_2;HRSCAF=24_0.4_41_noThreshold",0.5,0.132191877359263,62,0.0617753383458647,0.0814442857142858
"98","Scz6wRH_1685;HRSCAF=1840",111019460,113855864,"Scz6wRH_2;HRSCAF=24_0.4_42_noThreshold",0.5,0.129758543450258,61,0.0617753383458647,0.0814442857142858
"99","Scz6wRH_1685;HRSCAF=1840",113964650,117592374,"Scz6wRH_2;HRSCAF=24_0.4_43_noThreshold",0.5,0.12615383394005,66,0.0617753383458647,0.0814442857142858
"100","Scz6wRH_1685;HRSCAF=1840",119094938,121092131,"Scz6wRH_2;HRSCAF=24_0.4_45_noThreshold",0.5,0.0948887155739626,58,0.0617753383458647,0.0814442857142858
"101","Scz6wRH_1685;HRSCAF=1840",122785071,123740372,"Scz6wRH_2;HRSCAF=24_0.4_46_noThreshold",0.5,0.157390936769877,60,0.0617753383458647,0.0814442857142858
"102","Scz6wRH_1685;HRSCAF=1840",124980363,126410386,"Scz6wRH_2;HRSCAF=24_0.4_47_noThreshold",0.5,0.146380355845447,58,0.0617753383458647,0.0814442857142858
"103","Scz6wRH_1685;HRSCAF=1840",126473836,128451867,"Scz6wRH_2;HRSCAF=24_0.4_48_noThreshold",0.5,0.128950533753839,67,0.0617753383458647,0.0814442857142858
"104","Scz6wRH_1685;HRSCAF=1840",130100838,136681352,"Scz6wRH_2;HRSCAF=24_0.4_49_noThreshold",0.5,0.115632470516464,62,0.0617753383458647,0.0814442857142858
"105","Scz6wRH_1685;HRSCAF=1840",11822266,13885695,"Scz6wRH_2;HRSCAF=24_0.4_5_noThreshold",0.5,0.105006362439389,61,0.0617753383458647,0.0814442857142858
"106","Scz6wRH_1685;HRSCAF=1840",137037512,138908485,"Scz6wRH_2;HRSCAF=24_0.4_50_noThreshold",0.5,0.148519668452829,64,0.0617753383458647,0.0814442857142858
"107","Scz6wRH_1685;HRSCAF=1840",138929889,140305170,"Scz6wRH_2;HRSCAF=24_0.4_51_noThreshold",0.5,0.111429700810231,74,0.0617753383458647,0.0814442857142858
"108","Scz6wRH_1685;HRSCAF=1840",15508491,17565889,"Scz6wRH_2;HRSCAF=24_0.4_6_noThreshold",0.5,0.0981145865011933,63,0.0617753383458647,0.0814442857142858
"109","Scz6wRH_1685;HRSCAF=1840",17768099,19765011,"Scz6wRH_2;HRSCAF=24_0.4_7_noThreshold",0.5,0.156495581063918,65,0.0617753383458647,0.0814442857142858
"110","Scz6wRH_1685;HRSCAF=1840",22785392,24895780,"Scz6wRH_2;HRSCAF=24_0.4_9_noThreshold",0.5,0.168558871738556,58,0.0617753383458647,0.0814442857142858
"111","Scz6wRH_1685;HRSCAF=1840",33713952,35481617,"Scz6wRH_23;HRSCAF=98_0.5_1_noThreshold",0.5,0.133939446847199,62,0.0617753383458647,0.0814442857142858
"112","Scz6wRH_1685;HRSCAF=1840",121488154,122593572,"Scz6wRH_23;HRSCAF=98_0.5_10_noThreshold",0.5,0.146917387061681,62,0.0617753383458647,0.0814442857142858
"113","Scz6wRH_1685;HRSCAF=1840",127016283,127950228,"Scz6wRH_23;HRSCAF=98_0.5_11_noThreshold",0.5,0.1274788542629,52,0.0617753383458647,0.0814442857142858
"114","Scz6wRH_1685;HRSCAF=1840",36441067,38040771,"Scz6wRH_23;HRSCAF=98_0.5_2_noThreshold",0.5,0.0898250018778156,61,0.0617753383458647,0.0814442857142858
"115","Scz6wRH_1685;HRSCAF=1840",58087278,59292011,"Scz6wRH_23;HRSCAF=98_0.5_3_noThreshold",0.5,0.0804689472419105,55,0.0617753383458647,0.0814442857142858
"116","Scz6wRH_1685;HRSCAF=1840",71416540,72398156,"Scz6wRH_23;HRSCAF=98_0.5_4_noThreshold",0.5,0.099557834066808,67,0.0617753383458647,0.0814442857142858
"117","Scz6wRH_1685;HRSCAF=1840",75450000,77158368,"Scz6wRH_23;HRSCAF=98_0.5_5_noThreshold",0.5,0.134149290108131,72,0.0617753383458647,0.0814442857142858
"118","Scz6wRH_1685;HRSCAF=1840",86547034,87762265,"Scz6wRH_23;HRSCAF=98_0.5_6_noThreshold",0.5,0.111216448440648,58,0.0617753383458647,0.0814442857142858
"119","Scz6wRH_1685;HRSCAF=1840",88489358,89613183,"Scz6wRH_23;HRSCAF=98_0.5_7_noThreshold",0.5,0.101675720166343,73,0.0617753383458647,0.0814442857142858
"120","Scz6wRH_1685;HRSCAF=1840",89189882,90887665,"Scz6wRH_23;HRSCAF=98_0.5_8_noThreshold",0.5,0.143083445672382,70,0.0617753383458647,0.0814442857142858
"121","Scz6wRH_1685;HRSCAF=1840",94232614,95630921,"Scz6wRH_23;HRSCAF=98_0.5_9_noThreshold",0.5,0.072422664563887,64,0.0617753383458647,0.0814442857142858
